day,ta,tx,tn,slp,h,pp,vv,v,vm,vg,ra,sn,ts,fg
2010-01-01,26.6,30.5,21,1009.3,68,0,3.7,4.6,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-01-02,26.5,31,21,1011,73,0,5.1,4.1,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-01-03,27.1,31.4,21.6,1010.4,70,0,5,6.3,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-07,22.8,24.5,21.2,1013.8,88,0,2.7,7.4,11.1,NA,TRUE,FALSE,FALSE,FALSE
2010-01-08,22.7,26,20.5,1013.4,87,4.06,4.3,3.5,7.6,NA,TRUE,FALSE,FALSE,FALSE
2010-01-09,24.4,30,19.5,1010.9,75,0,4,4.1,7.6,NA,FALSE,FALSE,FALSE,TRUE
2010-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-13,21.7,26,17.5,1017.3,62,0,3.9,5.2,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-01-14,21.7,26.4,16,1018.7,66,0,4.8,6.3,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-01-15,23.3,29,16.5,1017.4,66,0,4.8,5,39.6,NA,FALSE,FALSE,FALSE,FALSE
2010-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-19,23.3,31,15.5,1014,63,0,4,5.2,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-01-20,24.7,29,19,1013.9,63,0,5.3,5.7,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-01-21,22.2,24,21.5,1013.1,95,6.1,3.5,7.2,14.8,NA,TRUE,FALSE,FALSE,FALSE
2010-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-25,25.5,30.5,20,1013.4,74,0,5.1,4.3,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-01-26,24.9,30.5,20,1015.1,64,0,9,5.6,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-01-27,24.9,29.7,20,1013.6,67,0,8.4,5,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-01-31,27.9,33.7,20.6,1011.1,59,0,4.5,5.7,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-02-01,27.2,33.5,20.5,1009.7,60,0,5.3,5.7,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-02-02,26.8,34.3,20.5,1009.4,61,0,5,5.6,14.8,NA,FALSE,FALSE,FALSE,FALSE
2010-02-03,27.6,34,20.2,1009.2,58,0,4.7,3.9,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-07,25.9,33,21.7,1010.3,77,0,3.9,4.6,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-02-08,27.6,32.3,21.6,NA,68,0,4.8,4.1,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-02-09,29.9,34,21,1010.2,59,0,5,5.4,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-13,27.2,31.6,21.8,1009.4,64,0,5.1,5.9,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-02-14,29.7,33.8,22,1009.2,61,0,5.6,5.6,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-02-15,29.7,35,22.1,1009.8,59,0,4.8,4.1,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-19,22.3,26,18.4,1015.4,63,0,4.8,8.7,18.3,NA,FALSE,FALSE,FALSE,FALSE
2010-02-20,22.5,27.6,17,1013.5,66,0,5.3,5.4,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-02-21,26.1,31.2,18.5,1011.5,65,0,4.8,3.5,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-02-25,28.1,34.7,20,1006.9,51,0,5,4.8,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-02-26,26.2,35.5,19.5,1006.6,58,0,4.3,4.4,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-02-27,27.7,35.2,20,1007,57,0,3.5,5.7,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-01,28.4,35.9,22.5,1007.9,64,0,4.8,4.6,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-02,30.6,37.6,21,1007.3,51,0,4.7,4.1,5.4,NA,FALSE,FALSE,FALSE,FALSE
2010-03-03,28.6,36.9,19,1006.7,51,0,4.8,5.7,11.1,NA,FALSE,FALSE,FALSE,FALSE
2010-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-07,29.3,36.6,22.4,1007.6,57,0,3.9,4.1,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-08,30.9,36.7,22.8,1007.1,56,0,3.2,7.2,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-03-09,27.2,31.8,19,1016,58,0,4.5,14.6,25.9,NA,FALSE,FALSE,FALSE,FALSE
2010-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-13,29.1,35.8,21.5,1008.9,56,0,4.2,4.1,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-14,29,36.8,22,1006.8,60,0,3.1,4.1,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-03-15,30.4,36.9,22.7,1008.5,53,0,4.2,4.8,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-19,27.1,32,21.5,1010.3,61,0,5,5,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-20,30,35.2,22.4,1006.6,59,0,4,4.6,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-03-21,27.1,32,23,1006.5,70,9.91,3.4,7.4,18.3,NA,TRUE,FALSE,FALSE,FALSE
2010-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-25,30.5,37,21.6,1009.4,50,0,5.1,15.4,28.7,NA,FALSE,FALSE,FALSE,FALSE
2010-03-26,25.2,28.2,21,1013.5,44,0,5.1,7.8,14.4,NA,FALSE,FALSE,FALSE,FALSE
2010-03-27,25.2,29.7,19.8,1013.9,56,0,3.7,4.6,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-03-31,30.5,36.4,23.5,1007.5,55,0,4.7,5,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-04-01,31.5,36,21.4,1007.8,57,0,4,5.6,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-04-02,31.9,37.7,24.9,1007.1,52,0,3.9,4.6,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-04-03,33,38.5,27.8,1007,54,6.1,5.6,8.3,18.3,NA,FALSE,FALSE,TRUE,FALSE
2010-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-07,33.8,39.5,27,1007.7,51,0,4.5,5,14.4,NA,FALSE,FALSE,FALSE,FALSE
2010-04-08,32.2,37.7,25,1008,56,NA,4.7,6.5,18,NA,TRUE,FALSE,FALSE,FALSE
2010-04-09,30.7,35,23.7,1006.4,65,7.87,5.6,6.1,14.8,NA,FALSE,FALSE,FALSE,FALSE
2010-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-13,35.2,38.7,31.8,1004.8,41,0,4.8,4.3,7.2,NA,FALSE,FALSE,FALSE,FALSE
2010-04-14,33.5,39.8,25.6,1005.9,46,0,4.7,3.9,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-04-15,32,38.5,27.4,1007.5,55,0,4,8.5,18,NA,FALSE,FALSE,FALSE,FALSE
2010-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-04-19,29.8,35.6,23,1006,60,2.03,3.9,4.8,37,NA,TRUE,FALSE,TRUE,FALSE
